name,kind,outcome,message,secs,n_equations,n_states,n_algebraic,n_discrete,n_parameters,structural,n_blocks,n_coupled,largest_coupled,has_arrays,max_depth,n_functions
Modelica.Blocks.Math.UnitConversions.From_kWh,Component,success,,0.212,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.UnitConversions.From_kmh,Component,success,,0.214,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.UnitConversions.From_litre,Component,success,,0.209,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.UnitConversions.From_minute,Component,success,,0.215,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.UnitConversions.From_rpm,Component,success,,0.225,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.UnitConversions.To_bar,Component,success,,0.211,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.UnitConversions.To_day,Component,success,,0.218,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.UnitConversions.To_deg,Component,success,,0.217,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.UnitConversions.To_degC,Component,success,,0.214,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.UnitConversions.To_degF,Component,success,,0.210,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.UnitConversions.To_degRk,Component,success,,0.211,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.UnitConversions.To_gps,Component,success,,0.231,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.UnitConversions.To_hour,Component,success,,0.252,1,0,0,0,0,ok,1,0,0,false,0,1
